,datetime,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_inflow_total,btc_outflow_total,btc_netflow_total,btc_coinbase_premium_index,btc_coinbase_premium_gap
29,2022-01-01 21:00:00,47406.28053874,47569.2836047,47282.85437901,47330.96555093,2288.850403277512,881.35191476,733.53650223,147.81541253,0.03360125,15.9
30,2022-01-01 22:00:00,47316.67900273,47504.08181419,47237.56479144,47453.74056009,1630.0528308352327,330.64456957,304.69533557,25.94923399999999,0.03174487,15.06
31,2022-01-01 23:00:00,47453.8199942,47828.54735371,47291.74189504,47733.38548613,2592.4602069167004,498.34885742,655.53744457,-157.18858715000005,0.02258885,10.78
32,2022-01-02 00:00:00,47734.74546276,47768.12061252,47395.05135121,47637.51979485,3118.8044552784113,803.59471828,1387.51062478,-583.9159064999999,0.02546966,12.13
33,2022-01-02 01:00:00,47635.83684666,47652.44766039,47319.65549743,47383.59697807,2043.7001170006383,2274.69695372,427.42514342,1847.2718102999995,0.01403606,6.65
34,2022-01-02 02:00:00,47387.50087847,47457.74393563,47289.97269543,47380.34888164,1741.589188089982,346.29001097,428.56495185,-82.27494087999997,0.01902028,9.01
35,2022-01-02 03:00:00,47362.16070473,47475.03099649,47273.90956748,47338.08624503,1342.276509241071,307.62250581,417.3817842,-109.75927839000002,0.02102284,9.95
36,2022-01-02 04:00:00,47340.30570995,47427.96296519,46771.60077888,46915.26719479,3786.1087858194264,997.18975692,407.82355956,589.3661973600001,0.01127684,5.29
37,2022-01-02 05:00:00,46914.88769335,47099.70921401,46838.28960613,47092.54503872,2290.858388936755,550.37032635,292.12129389,258.24903246,0.02574272,12.12
38,2022-01-02 06:00:00,47089.35884902,47250.34541466,47021.04476505,47128.32540095,1728.7899976383765,663.27590185,524.23080487,139.04509697999993,0.01317839,6.21
39,2022-01-02 07:00:00,47127.74900324,47302.96860211,47096.26470588,47185.03902917,1510.728587894399,363.9763989,268.32901962,95.64737928,0.03304825,15.59
40,2022-01-02 08:00:00,47183.12212574,47249.2357874,46975.68218896,47235.78175696,1674.1503018569,693.95806646,341.52162834,352.43643812000005,0.0182117,8.6
41,2022-01-02 09:00:00,47230.35841011,47506.69051715,47152.14673629,47280.3416587,2139.5379953090796,548.16124126,707.15312872,-158.99188746000004,0.02034978,9.62
