start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,datetime
1675566000000,4.78,14.40611695,0.02047589,0.06168544,2023-02-05 03:00:00+00:00
1675569600000,8.07,19.10949,0.03454032,0.08175167,2023-02-05 04:00:00+00:00
1675573200000,6.44,26.53179571,0.02755009,0.11340454,2023-02-05 05:00:00+00:00
1675576800000,5.27,14.06265174,0.0225283,0.0600927,2023-02-05 06:00:00+00:00
1675580400000,6.19,11.7124432,0.02647856,0.05008973,2023-02-05 07:00:00+00:00
1675584000000,6.6,18.34926484,0.02821325,0.07839886,2023-02-05 08:00:00+00:00
1675587600000,4.81,25.62028871,0.02058633,0.10955467,2023-02-05 09:00:00+00:00
1675591200000,6.86,13.08205184,0.02932179,0.05590192,2023-02-05 10:00:00+00:00
1675594800000,6.64,14.86586586,0.02842912,0.06362571,2023-02-05 11:00:00+00:00
1675598400000,1.85,19.08681129,0.00798427,0.08231399,2023-02-05 12:00:00+00:00
1675602000000,5.69,14.45060383,0.02456014,0.06235055,2023-02-05 13:00:00+00:00
1675605600000,5.81,9.76492745,0.02508262,0.04214942,2023-02-05 14:00:00+00:00
1675609200000,7.4,12.57146119,0.03203996,0.05441877,2023-02-05 15:00:00+00:00
1675612800000,4.38,6.42749266,0.01898114,0.02785167,2023-02-05 16:00:00+00:00
1675616400000,4.46,7.07375228,0.01951734,0.03095179,2023-02-05 17:00:00+00:00
1675620000000,6.53,15.55905938,0.02858529,0.06808337,2023-02-05 18:00:00+00:00
1675623600000,6.24,7.99236729,0.02725867,0.034911,2023-02-05 19:00:00+00:00
1675627200000,6.87,12.90877912,0.03001796,0.05638908,2023-02-05 20:00:00+00:00
1675630800000,9.1,17.44734419,0.03974422,0.07617344,2023-02-05 21:00:00+00:00
1675634400000,9.5,26.91387268,0.04134118,0.11703242,2023-02-05 22:00:00+00:00
1675638000000,3.43,24.54433024,0.01495667,0.10692813,2023-02-05 23:00:00+00:00
